id,dataset,classifier,reduction,accuracy,IC_Accuracy,precision,recall,f1,n_estimators,criterion,max_depth,min_samples_leaf,max_features,bootstrap,n_jobs,random_state,class_weight
459,euclidian_px_all,randomforestclassifier,None,0.7145454545454545,"(0.6341278758578102, 0.7949630332330988)",0.6721428571428572,0.5650000000000001,0.5921717171717172,1000,gini,,10,78,True,-1,707878,
460,euclidian_px_all,randomforestclassifier,None,0.7245454545454545,"(0.6492046761498459, 0.7998862329410631)",0.6916666666666667,0.615,0.6265873015873016,1000,gini,,15,78,True,-1,707878,
461,euclidian_px_all,randomforestclassifier,None,0.7154545454545456,"(0.637538531993133, 0.7933705589159581)",0.675,0.5900000000000001,0.6027777777777776,1000,gini,,20,78,True,-1,707878,
462,euclidian_px_all,randomforestclassifier,None,0.7145454545454545,"(0.6341278758578102, 0.7949630332330988)",0.6566666666666666,0.615,0.6182539682539684,1000,gini,,1,82,True,-1,707878,
463,euclidian_px_all,randomforestclassifier,None,0.7327272727272727,"(0.6462295357674334, 0.819225009687112)",0.6888095238095238,0.615,0.63502886002886,1000,gini,,2,82,True,-1,707878,
464,euclidian_px_all,randomforestclassifier,None,0.7327272727272727,"(0.6409582454525862, 0.8244963000019592)",0.6804761904761906,0.615,0.6290764790764791,1000,gini,,5,82,True,-1,707878,
465,euclidian_px_all,randomforestclassifier,None,0.7236363636363636,"(0.6344113481321031, 0.8128613791406242)",0.6721428571428572,0.5900000000000001,0.6112193362193362,1000,gini,,10,82,True,-1,707878,
466,euclidian_px_all,randomforestclassifier,None,0.7336363636363636,"(0.6616114301895597, 0.8056612970831676)",0.6988095238095238,0.615,0.6326479076479077,1000,gini,,15,82,True,-1,707878,
467,euclidian_px_all,randomforestclassifier,None,0.7154545454545456,"(0.637538531993133, 0.7933705589159581)",0.675,0.5900000000000001,0.6027777777777776,1000,gini,,20,82,True,-1,707878,
468,euclidian_px_all,randomforestclassifier,None,0.7327272727272727,"(0.6462295357674334, 0.819225009687112)",0.6833333333333333,0.64,0.6452380952380953,1000,gini,,1,86,True,-1,707878,
469,euclidian_px_all,randomforestclassifier,None,0.7418181818181818,"(0.6532273251364491, 0.8304090384999145)",0.6971428571428572,0.64,0.6528860028860028,1000,gini,,2,86,True,-1,707878,
470,euclidian_px_all,randomforestclassifier,None,0.7327272727272727,"(0.6462295357674334, 0.819225009687112)",0.6888095238095238,0.5900000000000001,0.6183621933621933,1000,gini,,5,86,True,-1,707878,
471,euclidian_px_all,randomforestclassifier,None,0.7236363636363636,"(0.6344113481321031, 0.8128613791406242)",0.6721428571428572,0.5900000000000001,0.6112193362193362,1000,gini,,10,86,True,-1,707878,
472,euclidian_px_all,randomforestclassifier,None,0.7245454545454545,"(0.6492046761498459, 0.7998862329410631)",0.6916666666666667,0.615,0.6265873015873016,1000,gini,,15,86,True,-1,707878,
473,euclidian_px_all,randomforestclassifier,None,0.7154545454545456,"(0.637538531993133, 0.7933705589159581)",0.675,0.5900000000000001,0.6027777777777776,1000,gini,,20,86,True,-1,707878,
474,euclidian_px_all,randomforestclassifier,None,0.7245454545454545,"(0.6432070948556698, 0.8058838142352391)",0.6583333333333333,0.665,0.6456349206349206,1000,gini,,1,90,True,-1,707878,
475,euclidian_px_all,randomforestclassifier,None,0.7145454545454545,"(0.6341278758578102, 0.7949630332330988)",0.6471428571428571,0.615,0.6171717171717173,1000,gini,,2,90,True,-1,707878,
476,euclidian_px_all,randomforestclassifier,None,0.7236363636363636,"(0.6344113481321031, 0.8128613791406242)",0.6721428571428572,0.5900000000000001,0.6112193362193362,1000,gini,,5,90,True,-1,707878,
477,euclidian_px_all,randomforestclassifier,None,0.7236363636363636,"(0.6344113481321031, 0.8128613791406242)",0.6721428571428572,0.5900000000000001,0.6112193362193362,1000,gini,,10,90,True,-1,707878,
478,euclidian_px_all,randomforestclassifier,None,0.7245454545454545,"(0.6492046761498459, 0.7998862329410631)",0.6916666666666667,0.615,0.6265873015873016,1000,gini,,15,90,True,-1,707878,
479,euclidian_px_all,randomforestclassifier,None,0.7154545454545456,"(0.637538531993133, 0.7933705589159581)",0.675,0.5900000000000001,0.6027777777777776,1000,gini,,20,90,True,-1,707878,
480,euclidian_px_all,randomforestclassifier,None,0.7236363636363636,"(0.6398425242210048, 0.8074302030517224)",0.6554761904761905,0.64,0.63502886002886,1000,gini,,1,94,True,-1,707878,
481,euclidian_px_all,randomforestclassifier,None,0.7154545454545456,"(0.637538531993133, 0.7933705589159581)",0.6566666666666667,0.615,0.6182539682539683,1000,gini,,2,94,True,-1,707878,
482,euclidian_px_all,randomforestclassifier,None,0.7236363636363636,"(0.6344113481321031, 0.8128613791406242)",0.6721428571428572,0.5900000000000001,0.6112193362193362,1000,gini,,5,94,True,-1,707878,
483,euclidian_px_all,randomforestclassifier,None,0.7145454545454545,"(0.6341278758578102, 0.7949630332330988)",0.6721428571428572,0.5650000000000001,0.5921717171717172,1000,gini,,10,94,True,-1,707878,
484,euclidian_px_all,randomforestclassifier,None,0.7245454545454545,"(0.6492046761498459, 0.7998862329410631)",0.6916666666666667,0.615,0.6265873015873016,1000,gini,,15,94,True,-1,707878,
485,euclidian_px_all,randomforestclassifier,None,0.7154545454545456,"(0.637538531993133, 0.7933705589159581)",0.675,0.5900000000000001,0.6027777777777776,1000,gini,,20,94,True,-1,707878,
