id,dataset,classifier,reduction,accuracy,IC_Accuracy,precision,recall,f1,kernel,C,gamma,degree,coef0,probability,random_state
55,euclidian_px_all,svc,PCA,0.7518181818181818,"(0.675609322026529, 0.8280270416098346)",0.6616666666666666,0.71,0.6715873015873015,linear,0.1,0.5,3,0,True,707878
56,euclidian_px_all,svc,PCA,0.7518181818181818,"(0.675609322026529, 0.8280270416098346)",0.6616666666666666,0.71,0.6715873015873015,linear,0.1,0.5,5,0,True,707878
57,euclidian_px_all,svc,PCA,0.7518181818181818,"(0.675609322026529, 0.8280270416098346)",0.6616666666666666,0.71,0.6715873015873015,linear,0.1,1,2,0,True,707878
58,euclidian_px_all,svc,PCA,0.7518181818181818,"(0.675609322026529, 0.8280270416098346)",0.6616666666666666,0.71,0.6715873015873015,linear,0.1,1,3,0,True,707878
59,euclidian_px_all,svc,PCA,0.7518181818181818,"(0.675609322026529, 0.8280270416098346)",0.6616666666666666,0.71,0.6715873015873015,linear,0.1,1,5,0,True,707878
60,euclidian_px_all,svc,PCA,0.7518181818181818,"(0.675609322026529, 0.8280270416098346)",0.6616666666666666,0.71,0.6715873015873015,linear,0.1,5,2,0,True,707878
61,euclidian_px_all,svc,PCA,0.7518181818181818,"(0.675609322026529, 0.8280270416098346)",0.6616666666666666,0.71,0.6715873015873015,linear,0.1,5,3,0,True,707878
62,euclidian_px_all,svc,PCA,0.7518181818181818,"(0.675609322026529, 0.8280270416098346)",0.6616666666666666,0.71,0.6715873015873015,linear,0.1,5,5,0,True,707878
63,euclidian_px_all,svc,PCA,0.7518181818181818,"(0.675609322026529, 0.8280270416098346)",0.6616666666666666,0.71,0.6715873015873015,linear,0.1,10,2,0,True,707878
64,euclidian_px_all,svc,PCA,0.7518181818181818,"(0.675609322026529, 0.8280270416098346)",0.6616666666666666,0.71,0.6715873015873015,linear,0.1,10,3,0,True,707878
65,euclidian_px_all,svc,PCA,0.7518181818181818,"(0.675609322026529, 0.8280270416098346)",0.6616666666666666,0.71,0.6715873015873015,linear,0.1,10,5,0,True,707878
66,euclidian_px_all,svc,PCA,0.7227272727272728,"(0.6252456105399161, 0.8202089349146294)",0.6116666666666667,0.6599999999999999,0.6212698412698412,linear,1,scale,2,0,True,707878
67,euclidian_px_all,svc,PCA,0.7227272727272728,"(0.6252456105399161, 0.8202089349146294)",0.6116666666666667,0.6599999999999999,0.6212698412698412,linear,1,scale,3,0,True,707878
68,euclidian_px_all,svc,PCA,0.7227272727272728,"(0.6252456105399161, 0.8202089349146294)",0.6116666666666667,0.6599999999999999,0.6212698412698412,linear,1,scale,5,0,True,707878
69,euclidian_px_all,svc,PCA,0.7227272727272728,"(0.6252456105399161, 0.8202089349146294)",0.6116666666666667,0.6599999999999999,0.6212698412698412,linear,1,auto,2,0,True,707878
70,euclidian_px_all,svc,PCA,0.7227272727272728,"(0.6252456105399161, 0.8202089349146294)",0.6116666666666667,0.6599999999999999,0.6212698412698412,linear,1,auto,3,0,True,707878
71,euclidian_px_all,svc,PCA,0.7227272727272728,"(0.6252456105399161, 0.8202089349146294)",0.6116666666666667,0.6599999999999999,0.6212698412698412,linear,1,auto,5,0,True,707878
72,euclidian_px_all,svc,PCA,0.7227272727272728,"(0.6252456105399161, 0.8202089349146294)",0.6116666666666667,0.6599999999999999,0.6212698412698412,linear,1,1e-05,2,0,True,707878
73,euclidian_px_all,svc,PCA,0.7227272727272728,"(0.6252456105399161, 0.8202089349146294)",0.6116666666666667,0.6599999999999999,0.6212698412698412,linear,1,1e-05,3,0,True,707878
74,euclidian_px_all,svc,PCA,0.7227272727272728,"(0.6252456105399161, 0.8202089349146294)",0.6116666666666667,0.6599999999999999,0.6212698412698412,linear,1,1e-05,5,0,True,707878
75,euclidian_px_all,svc,PCA,0.7227272727272728,"(0.6252456105399161, 0.8202089349146294)",0.6116666666666667,0.6599999999999999,0.6212698412698412,linear,1,0.0001,2,0,True,707878
76,euclidian_px_all,svc,PCA,0.7227272727272728,"(0.6252456105399161, 0.8202089349146294)",0.6116666666666667,0.6599999999999999,0.6212698412698412,linear,1,0.0001,3,0,True,707878
77,euclidian_px_all,svc,PCA,0.7227272727272728,"(0.6252456105399161, 0.8202089349146294)",0.6116666666666667,0.6599999999999999,0.6212698412698412,linear,1,0.0001,5,0,True,707878
78,euclidian_px_all,svc,PCA,0.7227272727272728,"(0.6252456105399161, 0.8202089349146294)",0.6116666666666667,0.6599999999999999,0.6212698412698412,linear,1,0.001,2,0,True,707878
79,euclidian_px_all,svc,PCA,0.7227272727272728,"(0.6252456105399161, 0.8202089349146294)",0.6116666666666667,0.6599999999999999,0.6212698412698412,linear,1,0.001,3,0,True,707878
80,euclidian_px_all,svc,PCA,0.7227272727272728,"(0.6252456105399161, 0.8202089349146294)",0.6116666666666667,0.6599999999999999,0.6212698412698412,linear,1,0.001,5,0,True,707878
81,euclidian_px_all,svc,PCA,0.7227272727272728,"(0.6252456105399161, 0.8202089349146294)",0.6116666666666667,0.6599999999999999,0.6212698412698412,linear,1,0.01,2,0,True,707878
82,euclidian_px_all,svc,PCA,0.7227272727272728,"(0.6252456105399161, 0.8202089349146294)",0.6116666666666667,0.6599999999999999,0.6212698412698412,linear,1,0.01,3,0,True,707878
83,euclidian_px_all,svc,PCA,0.7227272727272728,"(0.6252456105399161, 0.8202089349146294)",0.6116666666666667,0.6599999999999999,0.6212698412698412,linear,1,0.01,5,0,True,707878
84,euclidian_px_all,svc,PCA,0.7227272727272728,"(0.6252456105399161, 0.8202089349146294)",0.6116666666666667,0.6599999999999999,0.6212698412698412,linear,1,0.1,2,0,True,707878
85,euclidian_px_all,svc,PCA,0.7227272727272728,"(0.6252456105399161, 0.8202089349146294)",0.6116666666666667,0.6599999999999999,0.6212698412698412,linear,1,0.1,3,0,True,707878
86,euclidian_px_all,svc,PCA,0.7227272727272728,"(0.6252456105399161, 0.8202089349146294)",0.6116666666666667,0.6599999999999999,0.6212698412698412,linear,1,0.1,5,0,True,707878
