biblioteca,classifier,reduction,filtro,min_max,par_amostragem,par_accuracy,err_accuracy,IC,err_precision,err_recall,err_f1score,err_time,parameters
dlibHOG,svc,PCA,0.0,False,None,0.8565934065934065,0.7881818181818182,"(0.7112366830862449, 0.8651269532773915)",0.7416666666666666,0.485,0.570952380952381,0.00020741661389668786,"{'C': 0.01, 'coef0': 0, 'degree': 3, 'gamma': 0.5, 'kernel': 'poly', 'probability': True, 'random_state': 707878}"
dlibHOG,svc,PCA,0.0,False,Random,0.7666666666666666,0.7541666666666667,"(0.6684414367831589, 0.8398918965501744)",0.7314285714285714,0.7,0.6868253968253969,0.00017041802406311034,"{'C': 1, 'coef0': 0, 'degree': 2, 'gamma': 0.01, 'kernel': 'rbf', 'probability': True, 'random_state': 707878}"
dlibHOG,svc,PCA,0.0,False,Smote,0.8637362637362637,0.7972727272727274,"(0.7281776850757771, 0.8663677694696776)",0.8416666666666666,0.51,0.6109523809523809,0.00020731091499328613,"{'C': 0.01, 'coef0': 0, 'degree': 3, 'gamma': 0.5, 'kernel': 'poly', 'probability': True, 'random_state': 707878}"
dlibHOG,svc,PCA,0.0,False,Borderline,0.8417582417582418,0.78,"(0.6873342520686883, 0.8726657479313118)",0.7999999999999999,0.49000000000000005,0.5923809523809525,0.00020432750384012858,"{'C': 10, 'coef0': 0, 'degree': 3, 'gamma': 'scale', 'kernel': 'poly', 'probability': True, 'random_state': 707878}"
dlibHOG,svc,PCA,0.0,False,SVM,0.765909090909091,0.8181818181818181,"(0.7212439067246078, 0.9151197296390284)",0.7466666666666667,0.6849999999999999,0.6986507936507936,0.00020144820213317867,"{'C': 1, 'coef0': 0, 'degree': 2, 'gamma': 0.01, 'kernel': 'rbf', 'probability': True, 'random_state': 707878}"
dlibHOG,svc,PCA,0.0,False,Tomek,0.8675824175824175,0.7881818181818182,"(0.7112366830862449, 0.8651269532773915)",0.7416666666666666,0.485,0.570952380952381,0.00020042737325032551,"{'C': 0.01, 'coef0': 0, 'degree': 3, 'gamma': 0.5, 'kernel': 'poly', 'probability': True, 'random_state': 707878}"
dlibHOG,svc,PCA,0.0,True,None,0.8565934065934065,0.7972727272727274,"(0.7281776850757771, 0.8663677694696776)",0.8416666666666666,0.51,0.6109523809523809,0.00020613670349121094,"{'C': 0.01, 'coef0': 0, 'degree': 3, 'gamma': 0.5, 'kernel': 'poly', 'probability': True, 'random_state': 707878}"
dlibHOG,svc,PCA,0.0,True,Random,0.7791666666666666,0.7430555555555556,"(0.6638188163429316, 0.8222922947681796)",0.7652380952380953,0.775,0.7333621933621933,0.0001601278781890869,"{'C': 5, 'coef0': 0, 'degree': 2, 'gamma': 0.1, 'kernel': 'sigmoid', 'probability': True, 'random_state': 707878}"
dlibHOG,svc,PCA,0.0,True,Smote,0.8565934065934065,0.7972727272727274,"(0.7281776850757771, 0.8663677694696776)",0.8416666666666666,0.51,0.6109523809523809,0.00020976185798645018,"{'C': 0.01, 'coef0': 0, 'degree': 3, 'gamma': 0.5, 'kernel': 'poly', 'probability': True, 'random_state': 707878}"
dlibHOG,svc,PCA,0.0,True,Borderline,0.8417582417582418,0.79,"(0.6934287224912634, 0.8865712775087367)",0.8333333333333333,0.49000000000000005,0.5942857142857142,0.00020522356033325192,"{'C': 10, 'coef0': 0, 'degree': 3, 'gamma': 'scale', 'kernel': 'poly', 'probability': True, 'random_state': 707878}"
dlibHOG,svc,PCA,0.0,False,None,0.8565934065934065,0.7972727272727274,"(0.7281776850757771, 0.8663677694696776)",0.8416666666666666,0.51,0.6109523809523809,0.00018156647682189943,"{'C': 0.01, 'coef0': 0, 'degree': 3, 'gamma': 0.5, 'kernel': 'poly', 'probability': True, 'random_state': 707878}"
dlibHOG,svc,PCA,0.0,False,Random,0.7597222222222222,0.7597222222222222,"(0.6664018532069416, 0.8530425912375028)",0.7725,0.825,0.7613675213675213,0.00017177700996398926,"{'C': 1, 'coef0': 0, 'degree': 2, 'gamma': 'scale', 'kernel': 'rbf', 'probability': True, 'random_state': 707878}"
dlibHOG,svc,PCA,0.0,False,Smote,0.8565934065934065,0.7881818181818182,"(0.7112366830862449, 0.8651269532773915)",0.7416666666666666,0.485,0.570952380952381,0.00020675381024678547,"{'C': 0.01, 'coef0': 0, 'degree': 3, 'gamma': 0.5, 'kernel': 'poly', 'probability': True, 'random_state': 707878}"
dlibHOG,svc,PCA,0.0,False,Borderline,0.8412087912087912,0.8154545454545454,"(0.7324013244612849, 0.8985077664478059)",0.95,0.5549999999999999,0.6636507936507936,0.00020540515581766766,"{'C': 0.01, 'coef0': 0, 'degree': 3, 'gamma': 0.5, 'kernel': 'poly', 'probability': True, 'random_state': 707878}"
dlibHOG,svc,PCA,0.0,False,KMeans,0.7824175824175825,,,,,,,"{'C': 100, 'coef0': 0, 'degree': 2, 'gamma': 0.0001, 'kernel': 'rbf', 'probability': True, 'random_state': 707878}"
dlibHOG,svc,PCA,0.0,False,SVM,0.756818181818182,0.8181818181818181,"(0.7076555937778708, 0.9287080425857654)",0.74,0.735,0.7230952380952381,0.00020983258883158366,"{'C': 5, 'coef0': 0, 'degree': 2, 'gamma': 'auto', 'kernel': 'rbf', 'probability': True, 'random_state': 707878}"
dlibHOG,svc,PCA,0.0,False,Tomek,0.8747252747252746,0.7881818181818182,"(0.7112366830862449, 0.8651269532773915)",0.7416666666666666,0.485,0.570952380952381,0.00019962668418884274,"{'C': 0.01, 'coef0': 0, 'degree': 3, 'gamma': 0.5, 'kernel': 'poly', 'probability': True, 'random_state': 707878}"
