id,dataset,classifier,reduction,accuracy,IC_Accuracy,precision,recall,f1,n_neighbors,weights,algorithm,leaf_size,n_jobs
45,euclidian_px_all,kneighborsclassifier,ReliefF,0.7336363636363636,"(0.6495710154032556, 0.8177017118694717)",0.65,0.8099999999999999,0.7035425685425686,3,uniform,brute,1,-1
46,euclidian_px_all,kneighborsclassifier,ReliefF,0.7336363636363636,"(0.6495710154032556, 0.8177017118694717)",0.65,0.8099999999999999,0.7035425685425686,3,uniform,brute,5,-1
47,euclidian_px_all,kneighborsclassifier,ReliefF,0.7336363636363636,"(0.6495710154032556, 0.8177017118694717)",0.65,0.8099999999999999,0.7035425685425686,3,uniform,brute,10,-1
48,euclidian_px_all,kneighborsclassifier,ReliefF,0.7336363636363636,"(0.6495710154032556, 0.8177017118694717)",0.65,0.8099999999999999,0.7035425685425686,3,uniform,brute,20,-1
49,euclidian_px_all,kneighborsclassifier,ReliefF,0.7336363636363636,"(0.6495710154032556, 0.8177017118694717)",0.65,0.8099999999999999,0.7035425685425686,3,uniform,brute,30,-1
50,euclidian_px_all,kneighborsclassifier,ReliefF,0.7518181818181819,"(0.6641416054349711, 0.8394947582013927)",0.6571428571428571,0.86,0.7299494949494949,3,distance,auto,1,-1
51,euclidian_px_all,kneighborsclassifier,ReliefF,0.7518181818181819,"(0.6641416054349711, 0.8394947582013927)",0.6571428571428571,0.86,0.7299494949494949,3,distance,auto,5,-1
52,euclidian_px_all,kneighborsclassifier,ReliefF,0.7518181818181819,"(0.6641416054349711, 0.8394947582013927)",0.6571428571428571,0.86,0.7299494949494949,3,distance,auto,10,-1
53,euclidian_px_all,kneighborsclassifier,ReliefF,0.7518181818181819,"(0.6641416054349711, 0.8394947582013927)",0.6571428571428571,0.86,0.7299494949494949,3,distance,auto,20,-1
54,euclidian_px_all,kneighborsclassifier,ReliefF,0.7518181818181819,"(0.6641416054349711, 0.8394947582013927)",0.6571428571428571,0.86,0.7299494949494949,3,distance,auto,30,-1
55,euclidian_px_all,kneighborsclassifier,ReliefF,0.7518181818181819,"(0.6641416054349711, 0.8394947582013927)",0.6571428571428571,0.86,0.7299494949494949,3,distance,brute,1,-1
56,euclidian_px_all,kneighborsclassifier,ReliefF,0.7518181818181819,"(0.6641416054349711, 0.8394947582013927)",0.6571428571428571,0.86,0.7299494949494949,3,distance,brute,5,-1
57,euclidian_px_all,kneighborsclassifier,ReliefF,0.7518181818181819,"(0.6641416054349711, 0.8394947582013927)",0.6571428571428571,0.86,0.7299494949494949,3,distance,brute,10,-1
58,euclidian_px_all,kneighborsclassifier,ReliefF,0.7518181818181819,"(0.6641416054349711, 0.8394947582013927)",0.6571428571428571,0.86,0.7299494949494949,3,distance,brute,20,-1
59,euclidian_px_all,kneighborsclassifier,ReliefF,0.7518181818181819,"(0.6641416054349711, 0.8394947582013927)",0.6571428571428571,0.86,0.7299494949494949,3,distance,brute,30,-1
60,euclidian_px_all,kneighborsclassifier,ReliefF,0.7436363636363637,"(0.6774766829232124, 0.8097960443495149)",0.6433333333333333,0.835,0.7133333333333333,5,uniform,auto,1,-1
61,euclidian_px_all,kneighborsclassifier,ReliefF,0.7436363636363637,"(0.6774766829232124, 0.8097960443495149)",0.6433333333333333,0.835,0.7133333333333333,5,uniform,auto,5,-1
62,euclidian_px_all,kneighborsclassifier,ReliefF,0.7436363636363637,"(0.6774766829232124, 0.8097960443495149)",0.6433333333333333,0.835,0.7133333333333333,5,uniform,auto,10,-1
63,euclidian_px_all,kneighborsclassifier,ReliefF,0.7436363636363637,"(0.6774766829232124, 0.8097960443495149)",0.6433333333333333,0.835,0.7133333333333333,5,uniform,auto,20,-1
64,euclidian_px_all,kneighborsclassifier,ReliefF,0.7436363636363637,"(0.6774766829232124, 0.8097960443495149)",0.6433333333333333,0.835,0.7133333333333333,5,uniform,auto,30,-1
65,euclidian_px_all,kneighborsclassifier,ReliefF,0.7436363636363637,"(0.6774766829232124, 0.8097960443495149)",0.6433333333333333,0.835,0.7133333333333333,5,uniform,brute,1,-1
66,euclidian_px_all,kneighborsclassifier,ReliefF,0.7436363636363637,"(0.6774766829232124, 0.8097960443495149)",0.6433333333333333,0.835,0.7133333333333333,5,uniform,brute,5,-1
67,euclidian_px_all,kneighborsclassifier,ReliefF,0.7436363636363637,"(0.6774766829232124, 0.8097960443495149)",0.6433333333333333,0.835,0.7133333333333333,5,uniform,brute,10,-1
68,euclidian_px_all,kneighborsclassifier,ReliefF,0.7436363636363637,"(0.6774766829232124, 0.8097960443495149)",0.6433333333333333,0.835,0.7133333333333333,5,uniform,brute,20,-1
69,euclidian_px_all,kneighborsclassifier,ReliefF,0.7436363636363637,"(0.6774766829232124, 0.8097960443495149)",0.6433333333333333,0.835,0.7133333333333333,5,uniform,brute,30,-1
70,euclidian_px_all,kneighborsclassifier,ReliefF,0.7527272727272727,"(0.6919726402405639, 0.8134819052139814)",0.6583333333333333,0.835,0.72,5,distance,auto,1,-1
71,euclidian_px_all,kneighborsclassifier,ReliefF,0.7527272727272727,"(0.6919726402405639, 0.8134819052139814)",0.6583333333333333,0.835,0.72,5,distance,auto,5,-1
72,euclidian_px_all,kneighborsclassifier,ReliefF,0.7527272727272727,"(0.6919726402405639, 0.8134819052139814)",0.6583333333333333,0.835,0.72,5,distance,auto,10,-1
73,euclidian_px_all,kneighborsclassifier,ReliefF,0.7527272727272727,"(0.6919726402405639, 0.8134819052139814)",0.6583333333333333,0.835,0.72,5,distance,auto,20,-1
74,euclidian_px_all,kneighborsclassifier,ReliefF,0.7527272727272727,"(0.6919726402405639, 0.8134819052139814)",0.6583333333333333,0.835,0.72,5,distance,auto,30,-1
75,euclidian_px_all,kneighborsclassifier,ReliefF,0.7527272727272727,"(0.6919726402405639, 0.8134819052139814)",0.6583333333333333,0.835,0.72,5,distance,brute,1,-1
76,euclidian_px_all,kneighborsclassifier,ReliefF,0.7527272727272727,"(0.6919726402405639, 0.8134819052139814)",0.6583333333333333,0.835,0.72,5,distance,brute,5,-1
77,euclidian_px_all,kneighborsclassifier,ReliefF,0.7527272727272727,"(0.6919726402405639, 0.8134819052139814)",0.6583333333333333,0.835,0.72,5,distance,brute,10,-1
78,euclidian_px_all,kneighborsclassifier,ReliefF,0.7527272727272727,"(0.6919726402405639, 0.8134819052139814)",0.6583333333333333,0.835,0.72,5,distance,brute,20,-1
79,euclidian_px_all,kneighborsclassifier,ReliefF,0.7527272727272727,"(0.6919726402405639, 0.8134819052139814)",0.6583333333333333,0.835,0.72,5,distance,brute,30,-1
80,euclidian_px_all,kneighborsclassifier,ReliefF,0.7227272727272728,"(0.6252456105399161, 0.8202089349146294)",0.6345238095238096,0.755,0.6813203463203463,10,uniform,auto,1,-1
81,euclidian_px_all,kneighborsclassifier,ReliefF,0.7227272727272728,"(0.6252456105399161, 0.8202089349146294)",0.6345238095238096,0.755,0.6813203463203463,10,uniform,auto,5,-1
82,euclidian_px_all,kneighborsclassifier,ReliefF,0.7227272727272728,"(0.6252456105399161, 0.8202089349146294)",0.6345238095238096,0.755,0.6813203463203463,10,uniform,auto,10,-1
83,euclidian_px_all,kneighborsclassifier,ReliefF,0.7227272727272728,"(0.6252456105399161, 0.8202089349146294)",0.6345238095238096,0.755,0.6813203463203463,10,uniform,auto,20,-1
84,euclidian_px_all,kneighborsclassifier,ReliefF,0.7227272727272728,"(0.6252456105399161, 0.8202089349146294)",0.6345238095238096,0.755,0.6813203463203463,10,uniform,auto,30,-1
85,euclidian_px_all,kneighborsclassifier,ReliefF,0.7227272727272728,"(0.6252456105399161, 0.8202089349146294)",0.6345238095238096,0.755,0.6813203463203463,10,uniform,brute,1,-1
86,euclidian_px_all,kneighborsclassifier,ReliefF,0.7227272727272728,"(0.6252456105399161, 0.8202089349146294)",0.6345238095238096,0.755,0.6813203463203463,10,uniform,brute,5,-1
87,euclidian_px_all,kneighborsclassifier,ReliefF,0.7227272727272728,"(0.6252456105399161, 0.8202089349146294)",0.6345238095238096,0.755,0.6813203463203463,10,uniform,brute,10,-1
88,euclidian_px_all,kneighborsclassifier,ReliefF,0.7227272727272728,"(0.6252456105399161, 0.8202089349146294)",0.6345238095238096,0.755,0.6813203463203463,10,uniform,brute,20,-1
89,euclidian_px_all,kneighborsclassifier,ReliefF,0.7227272727272728,"(0.6252456105399161, 0.8202089349146294)",0.6345238095238096,0.755,0.6813203463203463,10,uniform,brute,30,-1
90,euclidian_px_all,kneighborsclassifier,ReliefF,0.7418181818181818,"(0.6778685421278057, 0.805767821508558)",0.6254761904761905,0.8550000000000001,0.7160101010101009,10,distance,auto,1,-1
91,euclidian_px_all,kneighborsclassifier,ReliefF,0.7418181818181818,"(0.6778685421278057, 0.805767821508558)",0.6254761904761905,0.8550000000000001,0.7160101010101009,10,distance,auto,5,-1
92,euclidian_px_all,kneighborsclassifier,ReliefF,0.7418181818181818,"(0.6778685421278057, 0.805767821508558)",0.6254761904761905,0.8550000000000001,0.7160101010101009,10,distance,auto,10,-1
93,euclidian_px_all,kneighborsclassifier,ReliefF,0.7418181818181818,"(0.6778685421278057, 0.805767821508558)",0.6254761904761905,0.8550000000000001,0.7160101010101009,10,distance,auto,20,-1
