id,dataset,classifier,reduction,accuracy,IC_Accuracy,precision,recall,f1,hidden_layer_sizes,activation,alpha,solver,learning_rate_init,max_iter,random_state
57,euclidian_px_all,mlpclassifier,FCBF,0.6236363636363637,"(0.6023541314163999, 0.6449185958563274)",0.0,0.0,0.0,"(100,)",logistic,0.0001,sgd,0.001,300,707878
58,euclidian_px_all,mlpclassifier,FCBF,0.6236363636363637,"(0.6023541314163999, 0.6449185958563274)",0.0,0.0,0.0,"(100,)",logistic,0.001,sgd,0.001,300,707878
59,euclidian_px_all,mlpclassifier,FCBF,0.6236363636363637,"(0.6023541314163999, 0.6449185958563274)",0.0,0.0,0.0,"(100,)",logistic,0.01,sgd,0.001,300,707878
60,euclidian_px_all,mlpclassifier,FCBF,0.6881818181818182,"(0.5771445288009176, 0.7992191075627189)",0.5958333333333333,0.71,0.6255266955266955,"(100,)",tanh,0.0001,lbfgs,0.001,300,707878
61,euclidian_px_all,mlpclassifier,FCBF,0.6890909090909092,"(0.6282589904357103, 0.7499228277461081)",0.6545238095238096,0.585,0.580021645021645,"(100,)",tanh,0.001,lbfgs,0.001,300,707878
62,euclidian_px_all,mlpclassifier,FCBF,0.7436363636363637,"(0.6588059978740265, 0.8284667293987008)",0.6816666666666666,0.7150000000000001,0.6760822510822511,"(100,)",tanh,0.01,lbfgs,0.001,300,707878
63,euclidian_px_all,mlpclassifier,FCBF,0.6145454545454545,"(0.5872647080880584, 0.6418262010028506)",0.0,0.0,0.0,"(100,)",tanh,0.0001,sgd,0.001,300,707878
64,euclidian_px_all,mlpclassifier,FCBF,0.6145454545454545,"(0.5872647080880584, 0.6418262010028506)",0.0,0.0,0.0,"(100,)",tanh,0.001,sgd,0.001,300,707878
65,euclidian_px_all,mlpclassifier,FCBF,0.6145454545454545,"(0.5872647080880584, 0.6418262010028506)",0.0,0.0,0.0,"(100,)",tanh,0.01,sgd,0.001,300,707878
66,euclidian_px_all,mlpclassifier,FCBF,0.7427272727272728,"(0.69052010976602, 0.7949344356885256)",0.6766666666666667,0.6799999999999999,0.6638095238095237,"(100,)",relu,0.0001,lbfgs,0.001,300,707878
