id,dataset,classifier,reduction,accuracy,IC_Accuracy,precision,recall,f1,hidden_layer_sizes,activation,alpha,solver,learning_rate_init,max_iter,random_state
40,euclidian_px_all,mlpclassifier,ReliefF,0.6872727272727273,"(0.6090467757546467, 0.7654986787908078)",0.5878571428571429,0.76,0.654090909090909,"(50, 50, 50)",tanh,0.001,sgd,0.001,300,707878
41,euclidian_px_all,mlpclassifier,ReliefF,0.6872727272727273,"(0.6090467757546467, 0.7654986787908078)",0.5878571428571429,0.76,0.654090909090909,"(50, 50, 50)",tanh,0.01,sgd,0.001,300,707878
42,euclidian_px_all,mlpclassifier,ReliefF,0.7527272727272727,"(0.6561389681805698, 0.8493155772739756)",0.6804761904761905,0.71,0.66987012987013,"(50, 50, 50)",relu,0.0001,lbfgs,0.001,300,707878
43,euclidian_px_all,mlpclassifier,ReliefF,0.6790909090909092,"(0.5864124861471687, 0.7717693320346497)",0.6183333333333334,0.61,0.5894444444444444,"(50, 50, 50)",relu,0.001,lbfgs,0.001,300,707878
44,euclidian_px_all,mlpclassifier,ReliefF,0.7245454545454545,"(0.6629269414692773, 0.7861639676216317)",0.6521428571428571,0.6849999999999999,0.6464574314574314,"(50, 50, 50)",relu,0.01,lbfgs,0.001,300,707878
45,euclidian_px_all,mlpclassifier,ReliefF,0.4036363636363636,"(0.35908709122112353, 0.4481856360516037)",0.38515151515151513,0.975,0.550915750915751,"(50, 50, 50)",relu,0.0001,sgd,0.001,300,707878
46,euclidian_px_all,mlpclassifier,ReliefF,0.4036363636363636,"(0.35908709122112353, 0.4481856360516037)",0.38515151515151513,0.975,0.550915750915751,"(50, 50, 50)",relu,0.001,sgd,0.001,300,707878
47,euclidian_px_all,mlpclassifier,ReliefF,0.4036363636363636,"(0.35908709122112353, 0.4481856360516037)",0.38515151515151513,0.975,0.550915750915751,"(50, 50, 50)",relu,0.01,sgd,0.001,300,707878
48,euclidian_px_all,mlpclassifier,ReliefF,0.7427272727272728,"(0.6748672727272728, 0.8105872727272728)",0.6152380952380951,0.775,0.6773304473304474,"(100,)",identity,0.0001,lbfgs,0.001,300,707878
49,euclidian_px_all,mlpclassifier,ReliefF,0.7227272727272728,"(0.6409740656984098, 0.8044804797561358)",0.6057142857142856,0.8,0.6764069264069265,"(100,)",identity,0.001,lbfgs,0.001,300,707878
50,euclidian_px_all,mlpclassifier,ReliefF,0.7236363636363636,"(0.6588110605467432, 0.7884616667259841)",0.6238095238095237,0.735,0.6597113997113998,"(100,)",identity,0.01,lbfgs,0.001,300,707878
51,euclidian_px_all,mlpclassifier,ReliefF,0.6245454545454545,"(0.5549085352739945, 0.6941823738169145)",0.51,0.93,0.6534265734265735,"(100,)",identity,0.0001,sgd,0.001,300,707878
52,euclidian_px_all,mlpclassifier,ReliefF,0.6245454545454545,"(0.5549085352739945, 0.6941823738169145)",0.51,0.93,0.6534265734265735,"(100,)",identity,0.001,sgd,0.001,300,707878
53,euclidian_px_all,mlpclassifier,ReliefF,0.6245454545454545,"(0.5549085352739945, 0.6941823738169145)",0.51,0.93,0.6534265734265735,"(100,)",identity,0.01,sgd,0.001,300,707878
54,euclidian_px_all,mlpclassifier,ReliefF,0.75,"(0.6671053316970394, 0.8328946683029606)",0.64,0.78,0.6906637806637806,"(100,)",logistic,0.0001,lbfgs,0.001,300,707878
55,euclidian_px_all,mlpclassifier,ReliefF,0.7336363636363636,"(0.6616114301895597, 0.8056612970831676)",0.6226190476190476,0.765,0.6742640692640693,"(100,)",logistic,0.001,lbfgs,0.001,300,707878
56,euclidian_px_all,mlpclassifier,ReliefF,0.7154545454545456,"(0.6673700190178151, 0.763539071891276)",0.6199999999999999,0.635,0.6126190476190475,"(100,)",logistic,0.01,lbfgs,0.001,300,707878
57,euclidian_px_all,mlpclassifier,ReliefF,0.6690909090909091,"(0.5913469458430298, 0.7468348723387883)",0.2,0.125,0.15238095238095237,"(100,)",logistic,0.0001,sgd,0.001,300,707878
58,euclidian_px_all,mlpclassifier,ReliefF,0.6690909090909091,"(0.5913469458430298, 0.7468348723387883)",0.2,0.125,0.15238095238095237,"(100,)",logistic,0.001,sgd,0.001,300,707878
59,euclidian_px_all,mlpclassifier,ReliefF,0.6690909090909091,"(0.5913469458430298, 0.7468348723387883)",0.2,0.125,0.15238095238095237,"(100,)",logistic,0.01,sgd,0.001,300,707878
60,euclidian_px_all,mlpclassifier,ReliefF,0.7136363636363636,"(0.6142454545454545, 0.8130272727272727)",0.6194444444444445,0.755,0.6624403374403375,"(100,)",tanh,0.0001,lbfgs,0.001,300,707878
61,euclidian_px_all,mlpclassifier,ReliefF,0.7518181818181818,"(0.6891412436733856, 0.8144951199629781)",0.6409523809523809,0.8099999999999999,0.707041847041847,"(100,)",tanh,0.001,lbfgs,0.001,300,707878
62,euclidian_px_all,mlpclassifier,ReliefF,0.7063636363636364,"(0.6467606143924379, 0.7659666583348349)",0.5938095238095237,0.7150000000000001,0.6347907647907647,"(100,)",tanh,0.01,lbfgs,0.001,300,707878
63,euclidian_px_all,mlpclassifier,ReliefF,0.5690909090909091,"(0.5274865849354833, 0.6106952332463349)",0.4652777777777778,0.93,0.6176923076923078,"(100,)",tanh,0.0001,sgd,0.001,300,707878
64,euclidian_px_all,mlpclassifier,ReliefF,0.5690909090909091,"(0.5274865849354833, 0.6106952332463349)",0.4652777777777778,0.93,0.6176923076923078,"(100,)",tanh,0.001,sgd,0.001,300,707878
65,euclidian_px_all,mlpclassifier,ReliefF,0.5690909090909091,"(0.5274865849354833, 0.6106952332463349)",0.4652777777777778,0.93,0.6176923076923078,"(100,)",tanh,0.01,sgd,0.001,300,707878
66,euclidian_px_all,mlpclassifier,ReliefF,0.7618181818181818,"(0.664406432666823, 0.8592299309695407)",0.6766666666666666,0.755,0.698037518037518,"(100,)",relu,0.0001,lbfgs,0.001,300,707878
67,euclidian_px_all,mlpclassifier,ReliefF,0.7790909090909091,"(0.6850036893301251, 0.873178128851693)",0.7171428571428571,0.73,0.7098701298701299,"(100,)",relu,0.001,lbfgs,0.001,300,707878
68,euclidian_px_all,mlpclassifier,ReliefF,0.7418181818181818,"(0.6645592137169567, 0.8190771499194069)",0.6433333333333333,0.6799999999999999,0.6493650793650795,"(100,)",relu,0.01,lbfgs,0.001,300,707878
69,euclidian_px_all,mlpclassifier,ReliefF,0.37636363636363634,"(0.3550814041436726, 0.39764586858360007)",0.37636363636363634,1.0,0.5463095238095237,"(100,)",relu,0.0001,sgd,0.001,300,707878
70,euclidian_px_all,mlpclassifier,ReliefF,0.37636363636363634,"(0.3550814041436726, 0.39764586858360007)",0.37636363636363634,1.0,0.5463095238095237,"(100,)",relu,0.001,sgd,0.001,300,707878
71,euclidian_px_all,mlpclassifier,ReliefF,0.37636363636363634,"(0.3550814041436726, 0.39764586858360007)",0.37636363636363634,1.0,0.5463095238095237,"(100,)",relu,0.01,sgd,0.001,300,707878
72,euclidian_px_all,mlpclassifier,ReliefF,0.7518181818181818,"(0.6820464508451352, 0.8215899127912285)",0.6371428571428571,0.805,0.7037085137085137,"(100, 100, 100)",identity,0.0001,lbfgs,0.001,300,707878
73,euclidian_px_all,mlpclassifier,ReliefF,0.7054545454545453,"(0.6125154018361059, 0.7983936890729848)",0.5702380952380952,0.7,0.6166161616161616,"(100, 100, 100)",identity,0.001,lbfgs,0.001,300,707878
74,euclidian_px_all,mlpclassifier,ReliefF,0.7236363636363636,"(0.6344113481321031, 0.8128613791406242)",0.6035714285714284,0.75,0.6575685425685426,"(100, 100, 100)",identity,0.01,lbfgs,0.001,300,707878
75,euclidian_px_all,mlpclassifier,ReliefF,0.7145454545454545,"(0.623186937167376, 0.8059039719235329)",0.635,0.7849999999999999,0.6858658008658007,"(100, 100, 100)",identity,0.0001,sgd,0.001,300,707878
76,euclidian_px_all,mlpclassifier,ReliefF,0.7145454545454545,"(0.623186937167376, 0.8059039719235329)",0.635,0.7849999999999999,0.6858658008658007,"(100, 100, 100)",identity,0.001,sgd,0.001,300,707878
77,euclidian_px_all,mlpclassifier,ReliefF,0.7145454545454545,"(0.623186937167376, 0.8059039719235329)",0.635,0.7849999999999999,0.6858658008658007,"(100, 100, 100)",identity,0.01,sgd,0.001,300,707878
78,euclidian_px_all,mlpclassifier,ReliefF,0.7145454545454546,"(0.6045219926448443, 0.8245689164460649)",0.635,0.6849999999999999,0.6442063492063492,"(100, 100, 100)",logistic,0.0001,lbfgs,0.001,300,707878
79,euclidian_px_all,mlpclassifier,ReliefF,0.7254545454545455,"(0.6397425725790197, 0.8111665183300713)",0.6104761904761905,0.765,0.6687590187590188,"(100, 100, 100)",logistic,0.001,lbfgs,0.001,300,707878
80,euclidian_px_all,mlpclassifier,ReliefF,0.7236363636363636,"(0.6519285133797164, 0.7953442138930109)",0.6154761904761905,0.755,0.6710317460317461,"(100, 100, 100)",logistic,0.01,lbfgs,0.001,300,707878
81,euclidian_px_all,mlpclassifier,ReliefF,0.38545454545454544,"(0.34441876844178104, 0.42649032246730983)",0.33090909090909093,0.9,0.4838095238095238,"(100, 100, 100)",logistic,0.0001,sgd,0.001,300,707878
82,euclidian_px_all,mlpclassifier,ReliefF,0.38545454545454544,"(0.34441876844178104, 0.42649032246730983)",0.33090909090909093,0.9,0.4838095238095238,"(100, 100, 100)",logistic,0.001,sgd,0.001,300,707878
83,euclidian_px_all,mlpclassifier,ReliefF,0.38545454545454544,"(0.34441876844178104, 0.42649032246730983)",0.33090909090909093,0.9,0.4838095238095238,"(100, 100, 100)",logistic,0.01,sgd,0.001,300,707878
84,euclidian_px_all,mlpclassifier,ReliefF,0.7245454545454546,"(0.598003416333994, 0.8510874927569152)",0.6378571428571428,0.71,0.6640476190476191,"(100, 100, 100)",tanh,0.0001,lbfgs,0.001,300,707878
85,euclidian_px_all,mlpclassifier,ReliefF,0.7518181818181818,"(0.7065522250772776, 0.7970841385590861)",0.672142857142857,0.755,0.6921428571428571,"(100, 100, 100)",tanh,0.001,lbfgs,0.001,300,707878
86,euclidian_px_all,mlpclassifier,ReliefF,0.7336363636363636,"(0.6553593752822814, 0.8119133519904459)",0.6204761904761904,0.78,0.6848196248196248,"(100, 100, 100)",tanh,0.01,lbfgs,0.001,300,707878
87,euclidian_px_all,mlpclassifier,ReliefF,0.7145454545454545,"(0.623186937167376, 0.8059039719235329)",0.635,0.7849999999999999,0.6858658008658007,"(100, 100, 100)",tanh,0.0001,sgd,0.001,300,707878
88,euclidian_px_all,mlpclassifier,ReliefF,0.7145454545454545,"(0.623186937167376, 0.8059039719235329)",0.635,0.7849999999999999,0.6858658008658007,"(100, 100, 100)",tanh,0.001,sgd,0.001,300,707878
89,euclidian_px_all,mlpclassifier,ReliefF,0.7145454545454545,"(0.623186937167376, 0.8059039719235329)",0.635,0.7849999999999999,0.6858658008658007,"(100, 100, 100)",tanh,0.01,sgd,0.001,300,707878
90,euclidian_px_all,mlpclassifier,ReliefF,0.6781818181818182,"(0.5941080867471105, 0.762255549616526)",0.5783333333333334,0.61,0.5870634920634921,"(100, 100, 100)",relu,0.0001,lbfgs,0.001,300,707878
91,euclidian_px_all,mlpclassifier,ReliefF,0.6781818181818182,"(0.5941080867471105, 0.762255549616526)",0.5888095238095238,0.6849999999999999,0.6195743145743144,"(100, 100, 100)",relu,0.001,lbfgs,0.001,300,707878
92,euclidian_px_all,mlpclassifier,ReliefF,0.6509090909090909,"(0.5700835647881477, 0.7317346170300341)",0.5477777777777778,0.615,0.5564590964590964,"(100, 100, 100)",relu,0.01,lbfgs,0.001,300,707878
93,euclidian_px_all,mlpclassifier,ReliefF,0.7145454545454545,"(0.6181811739987225, 0.8109097350921864)",0.6354761904761904,0.76,0.6767748917748917,"(100, 100, 100)",relu,0.0001,sgd,0.001,300,707878
94,euclidian_px_all,mlpclassifier,ReliefF,0.7145454545454545,"(0.6181811739987225, 0.8109097350921864)",0.6354761904761904,0.76,0.6767748917748917,"(100, 100, 100)",relu,0.001,sgd,0.001,300,707878
95,euclidian_px_all,mlpclassifier,ReliefF,0.7145454545454545,"(0.6181811739987225, 0.8109097350921864)",0.6354761904761904,0.76,0.6767748917748917,"(100, 100, 100)",relu,0.01,sgd,0.001,300,707878
96,euclidian_px_all,mlpclassifier,ReliefF,0.6872727272727273,"(0.5927296836671034, 0.7818157708783511)",0.5638095238095238,0.6599999999999999,0.6016161616161616,"(45,)",identity,0.0001,lbfgs,0.001,300,707878
97,euclidian_px_all,mlpclassifier,ReliefF,0.7063636363636364,"(0.6208574746021963, 0.7918697981250765)",0.5854761904761905,0.735,0.6437590187590188,"(45,)",identity,0.001,lbfgs,0.001,300,707878
98,euclidian_px_all,mlpclassifier,ReliefF,0.7045454545454546,"(0.6135450708390616, 0.7955458382518475)",0.5804761904761905,0.735,0.6384415584415584,"(45,)",identity,0.01,lbfgs,0.001,300,707878
99,euclidian_px_all,mlpclassifier,ReliefF,0.6136363636363636,"(0.536617988132272, 0.6906547391404553)",0.503968253968254,0.905,0.641105561105561,"(45,)",identity,0.0001,sgd,0.001,300,707878
100,euclidian_px_all,mlpclassifier,ReliefF,0.6136363636363636,"(0.536617988132272, 0.6906547391404553)",0.503968253968254,0.905,0.641105561105561,"(45,)",identity,0.001,sgd,0.001,300,707878
101,euclidian_px_all,mlpclassifier,ReliefF,0.6045454545454545,"(0.526316499938845, 0.682774409152064)",0.4984126984126984,0.905,0.6359773559773559,"(45,)",identity,0.01,sgd,0.001,300,707878
102,euclidian_px_all,mlpclassifier,ReliefF,0.7245454545454546,"(0.6376223585076731, 0.8114685505832361)",0.6242857142857143,0.7150000000000001,0.6508513708513709,"(45,)",logistic,0.0001,lbfgs,0.001,300,707878
103,euclidian_px_all,mlpclassifier,ReliefF,0.6599999999999999,"(0.5668084273664331, 0.7531915726335667)",0.535952380952381,0.665,0.582041847041847,"(45,)",logistic,0.001,lbfgs,0.001,300,707878
104,euclidian_px_all,mlpclassifier,ReliefF,0.7154545454545456,"(0.6317252135481723, 0.7991838773609188)",0.6133333333333332,0.6900000000000001,0.6358730158730157,"(45,)",logistic,0.01,lbfgs,0.001,300,707878
105,euclidian_px_all,mlpclassifier,ReliefF,0.37636363636363634,"(0.3550814041436726, 0.39764586858360007)",0.37636363636363634,1.0,0.5463095238095237,"(45,)",logistic,0.0001,sgd,0.001,300,707878
106,euclidian_px_all,mlpclassifier,ReliefF,0.37636363636363634,"(0.3550814041436726, 0.39764586858360007)",0.37636363636363634,1.0,0.5463095238095237,"(45,)",logistic,0.001,sgd,0.001,300,707878
107,euclidian_px_all,mlpclassifier,ReliefF,0.37636363636363634,"(0.3550814041436726, 0.39764586858360007)",0.37636363636363634,1.0,0.5463095238095237,"(45,)",logistic,0.01,sgd,0.001,300,707878
108,euclidian_px_all,mlpclassifier,ReliefF,0.7436363636363637,"(0.6850069556204411, 0.8022657716522862)",0.6366666666666666,0.76,0.6872222222222222,"(45,)",tanh,0.0001,lbfgs,0.001,300,707878
109,euclidian_px_all,mlpclassifier,ReliefF,0.7245454545454546,"(0.6557229508022195, 0.7933679582886897)",0.6211904761904761,0.76,0.6739105339105338,"(45,)",tanh,0.001,lbfgs,0.001,300,707878
110,euclidian_px_all,mlpclassifier,ReliefF,0.7245454545454546,"(0.6710931834435603, 0.7779977256473489)",0.6338095238095237,0.76,0.6755844155844155,"(45,)",tanh,0.01,lbfgs,0.001,300,707878
111,euclidian_px_all,mlpclassifier,ReliefF,0.5509090909090909,"(0.4812620517084078, 0.620556130109774)",0.4598953823953824,0.905,0.6035531135531136,"(45,)",tanh,0.0001,sgd,0.001,300,707878
112,euclidian_px_all,mlpclassifier,ReliefF,0.5509090909090909,"(0.4812620517084078, 0.620556130109774)",0.4598953823953824,0.905,0.6035531135531136,"(45,)",tanh,0.001,sgd,0.001,300,707878
113,euclidian_px_all,mlpclassifier,ReliefF,0.5418181818181818,"(0.4755591515338886, 0.6080772121024749)",0.4527525252525253,0.905,0.5980985680985681,"(45,)",tanh,0.01,sgd,0.001,300,707878
